experiment,num_particles,motion_noise_trans,motion_noise_theta_deg,meas_noise,resample_method,rejuvenation_sigma,final_rmse,mean_rmse,mean_ess,weight_failures,diverged
exp_01_N100_low_noise,100,0.02,1.0,0.05,systematic,0.0,7.640390015000431,12.252612478476609,1.0394135595725404,0,False
exp_02_N300_low_noise,300,0.02,1.0,0.05,systematic,0.0,0.11754067442542997,0.4048122281599096,32.45583198752884,0,False
exp_03_N1000_low_noise,1000,0.02,1.0,0.05,systematic,0.0,0.4767745032764496,3.1566739104596713,1.1271258981645926,0,False
exp_04_N300_trans0.02_theta1deg,300,0.02,1.0,0.1,systematic,0.0,0.24610046440537653,0.5168553002677758,65.91096804991109,0,False
exp_05_N300_trans0.10_theta5deg,300,0.1,5.0,0.1,systematic,0.0,0.2650659761467551,0.13846799590926956,52.548158308999454,0,False
exp_06_N300_meas0.05,300,0.02,1.0,0.05,systematic,0.0,0.11754067442542997,0.4048122281599096,32.45583198752884,0,False
exp_07_N300_meas0.20,300,0.02,1.0,0.2,systematic,0.0,0.4985693305083369,0.7179280616080009,95.54728565881315,0,False
exp_08_N300_meas0.50,300,0.02,1.0,0.5,systematic,0.0,1.3279320257554301,1.4436413588758858,156.18413670789258,0,False
exp_09_N1000_high_noise_challenge,1000,0.1,5.0,0.5,systematic,0.05,0.09735931285818206,0.32749702594070806,393.377394774341,0,False
exp_10_N300_residual_resample,300,0.02,1.0,0.1,residual,0.0,0.9379493030653456,0.9586899053491494,24.481285205057937,0,False
